order_id,customer_id,product_id,quantity,unit_price,order_date,store_id,status
ORD001,C026,P008,1,28000,2024-01-11,S02,DELIVERED
ORD002,C021,P004,4,18000,2024-01-12,S03,DELIVERED
ORD003,C020,P003,2,50000,2024-01-04,S01,DELIVERED
ORD004,C031,P007,1,18000,2024-01-09,S03,DELIVERED
ORD005,C005,P004,3,800,2024-01-08,S03,DELIVERED
ORD006,C014,P008,3,9500,2024-01-24,S03,DELIVERED
ORD007,C032,P002,3,9500,2024-01-07,S01,DELIVERED
ORD008,C028,P004,2,1500,2024-01-14,S02,DELIVERED
ORD009,C011,P006,4,2000,2024-01-03,S03,DELIVERED
ORD010,C016,P007,3,50000,2024-01-05,S02,DELIVERED
ORD011,C025,P007,4,9500,2024-01-12,S01,DELIVERED
ORD012,C011,P007,3,18000,2024-01-14,S02,DELIVERED
ORD013,C029,P005,1,4000,2024-01-12,S02,DELIVERED
ORD014,C008,P006,1,2000,2024-01-18,S01,DELIVERED
ORD015,C032,P002,1,9500,2024-01-21,S02,DELIVERED
ORD016,C028,P003,4,1500,2024-01-23,S02,DELIVERED
ORD017,C017,P002,2,2000,2024-01-13,S02,DELIVERED
ORD018,C002,P007,4,2000,2024-01-21,S02,DELIVERED
ORD019,C012,P004,4,4000,2024-01-19,S02,DELIVERED
ORD020,C022,P001,2,50000,2024-01-20,S01,DELIVERED
