order_id,customer_id,order_date,status,payment_method,shipping_cost,region
1,62.0,2025-12-07 19:22:17,PLACED,UPI,174.18,South
2,25.0,2025-11-01 14:57:33,PLACED,COD,154.91,West
3,407.0,2025-04-03 18:18:08,RETURNED,CARD,68.99,West
4,406.0,2025-04-29 22:28:00,DELIVERED,NETBANKING,62.33,West
5,75.0,2024-07-29 04:46:29,CANCELLED,CARD,88.7,South
6,299.0,2026-05-04 07:06:07,RETURNED,NETBANKING,237.77,North
7,146.0,2026-03-05 10:51:46,RETURNED,CARD,207.41,South
8,196.0,2025-09-21 15:03:57,CANCELLED,COD,76.44,East
9,149.0,2025-01-07 00:58:11,RETURNED,UPI,159.12,West
10,25.0,2026-04-14 14:37:08,PLACED,CARD,54.57,West
11,257.0,2025-10-27 15:28:50,CANCELLED,NETBANKING,243.77,West
12,2.0,2024-07-14 22:34:34,SHIPPED,COD,247.73,North
13,399.0,2025-06-24 13:36:17,SHIPPED,CARD,212.59,North
14,413.0,2024-09-02 16:58:49,RETURNED,COD,128.91,North
15,105.0,2025-11-11 17:14:07,SHIPPED,UPI,218.41,South
16,,2025-10-21 19:16:58,PLACED,UPI,97.61,West
17,471.0,2025-10-22 00:16:15,DELIVERED,COD,199.87,South
18,,2026-03-02 21:46:44,CANCELLED,CARD,95.85,West
19,332.0,2026-03-16 07:19:42,DELIVERED,UPI,48.61,East
20,150.0,2025-04-11 22:38:41,CANCELLED,CARD,194.52,South
21,201.0,2025-05-23 14:51:40,DELIVERED,CARD,211.81,West
22,374.0,2025-01-29 11:54:38,PLACED,NETBANKING,224.46,East
23,468.0,2024-12-03 12:08:14,CANCELLED,CARD,44.15,North
24,468.0,2025-12-17 23:54:11,PLACED,UPI,102.85,West
25,242.0,2025-06-20 02:41:37,RETURNED,UPI,57.86,East
26,,2025-06-12 01:10:38,DELIVERED,NETBANKING,237.38,South
27,79.0,2025-10-13 08:58:32,PLACED,UPI,92.67,East
28,188.0,2025-06-11 10:35:30,SHIPPED,COD,201.0,South
29,,2025-08-12 03:44:33,SHIPPED,COD,192.3,West
30,228.0,2025-08-02 16:23:15,DELIVERED,NETBANKING,112.12,West
31,369.0,2025-09-04 14:11:32,PLACED,COD,161.56,West
32,476.0,2025-07-29 19:15:18,PLACED,CARD,123.65,North
33,93.0,2026-06-06 18:58:17,SHIPPED,UPI,166.46,South
34,137.0,2025-08-18 17:32:53,PLACED,NETBANKING,119.56,East
35,171.0,2025-01-16 16:16:20,DELIVERED,NETBANKING,189.52,East
36,81.0,2024-07-26 04:45:57,SHIPPED,UPI,140.33,West
37,436.0,2024-09-22 00:09:58,RETURNED,NETBANKING,184.4,South
38,160.0,2025-04-03 01:15:34,DELIVERED,CARD,69.09,West
39,220.0,2025-01-01 00:33:25,DELIVERED,UPI,239.43,East
40,316.0,2025-09-18 22:33:12,SHIPPED,NETBANKING,100.69,West
41,482.0,2026-06-20 17:44:31,DELIVERED,NETBANKING,198.95,West
42,53.0,2025-10-18 00:33:21,RETURNED,COD,122.24,North
43,202.0,2025-11-30 08:08:36,CANCELLED,NETBANKING,115.0,East
44,375.0,2025-12-05 17:56:54,DELIVERED,NETBANKING,151.1,South
46,193.0,2025-02-11 20:19:15,RETURNED,CARD,225.13,North
47,410.0,2026-03-09 18:46:53,SHIPPED,COD,76.47,East
48,86.0,2024-12-10 03:16:49,DELIVERED,UPI,187.23,South
49,74.0,2026-02-24 21:44:16,PLACED,NETBANKING,115.72,South
50,69.0,2026-06-20 03:02:12,RETURNED,CARD,142.75,South
51,140.0,2025-01-13 01:14:48,PLACED,CARD,120.57,South
52,48.0,2026-06-09 13:13:19,DELIVERED,UPI,222.2,South
53,246.0,2025-11-19 08:31:51,PLACED,NETBANKING,206.43,North
54,167.0,2026-02-04 00:35:11,PLACED,COD,51.63,North
55,470.0,2026-06-07 07:47:01,DELIVERED,COD,58.28,West
56,279.0,2024-12-02 22:24:14,SHIPPED,COD,102.85,East
57,297.0,2026-01-13 10:33:58,RETURNED,CARD,144.39,South
58,,2025-04-02 13:39:48,CANCELLED,CARD,165.92,West
59,190.0,2026-05-14 19:35:37,SHIPPED,UPI,87.74,West
60,475.0,2024-11-02 11:17:48,PLACED,UPI,88.43,South
61,151.0,2025-11-29 14:25:12,CANCELLED,UPI,243.28,East
62,448.0,2026-02-28 00:17:48,PLACED,UPI,243.7,West
63,491.0,2025-11-26 15:39:37,PLACED,COD,197.52,South
64,8.0,2024-11-24 14:52:49,PLACED,NETBANKING,64.16,North
65,481.0,2025-11-26 17:58:02,PLACED,COD,54.17,North
66,452.0,2025-03-25 18:17:26,CANCELLED,NETBANKING,230.34,South
67,12.0,2025-07-24 00:30:30,CANCELLED,NETBANKING,159.79,West
68,413.0,2025-07-30 08:22:19,RETURNED,COD,244.33,North
69,130.0,2025-05-31 10:14:26,CANCELLED,NETBANKING,44.84,West
70,291.0,2025-04-10 22:32:28,DELIVERED,UPI,139.53,East
71,33.0,2025-05-31 05:05:11,DELIVERED,UPI,222.54,South
72,337.0,2025-04-30 16:04:25,SHIPPED,UPI,156.75,South
74,304.0,2025-12-03 04:23:51,DELIVERED,CARD,155.26,West
75,187.0,2026-06-26 09:41:03,PLACED,COD,188.64,West
76,120.0,2026-06-23 18:04:39,DELIVERED,UPI,204.7,South
77,231.0,2025-10-09 23:20:18,DELIVERED,COD,0.0,West
78,404.0,2025-11-12 18:33:08,RETURNED,CARD,154.17,North
79,87.0,2024-11-06 15:45:46,RETURNED,CARD,188.99,South
80,422.0,2025-04-27 18:00:47,RETURNED,NETBANKING,236.23,East
81,99.0,2025-03-21 11:14:28,PLACED,COD,112.72,North
82,481.0,2024-09-25 17:44:09,PLACED,UPI,239.58,North
83,156.0,2026-07-12 08:39:02,CANCELLED,UPI,170.81,West
85,417.0,2025-05-14 09:14:30,PLACED,NETBANKING,76.94,North
86,471.0,2025-05-08 09:47:48,RETURNED,CARD,164.84,North
87,2.0,2024-11-04 11:17:11,CANCELLED,NETBANKING,230.77,North
88,3.0,2025-03-02 22:04:35,SHIPPED,CARD,144.32,North
89,393.0,2025-03-01 07:53:46,RETURNED,CARD,100.42,West
90,299.0,2025-02-15 21:58:06,PLACED,CARD,72.97,North
91,140.0,2025-04-09 20:01:55,RETURNED,UPI,212.04,North
92,381.0,2025-06-21 11:05:25,CANCELLED,UPI,159.46,East
93,225.0,2025-02-15 04:38:11,SHIPPED,CARD,41.93,North
94,114.0,2025-03-17 09:45:32,CANCELLED,COD,43.63,South
95,110.0,2024-10-06 05:41:23,DELIVERED,COD,114.55,South
96,36.0,2026-02-22 17:33:46,PLACED,UPI,142.56,South
97,435.0,2026-05-05 23:55:39,SHIPPED,NETBANKING,193.23,West
98,432.0,2025-02-09 07:24:09,RETURNED,COD,202.93,North
99,41.0,2026-01-07 19:25:21,RETURNED,CARD,153.52,South
100,231.0,2026-06-18 05:04:46,RETURNED,COD,80.41,North
101,245.0,2026-05-17 22:51:26,SHIPPED,COD,156.7,North
102,437.0,2025-05-26 05:07:21,SHIPPED,COD,55.75,East
103,423.0,2024-09-19 14:10:57,SHIPPED,NETBANKING,152.44,West
104,19.0,2025-03-20 04:32:51,CANCELLED,COD,186.39,East
105,333.0,2025-11-06 04:57:03,PLACED,UPI,84.06,West
106,163.0,2024-11-09 13:36:35,RETURNED,COD,40.95,South
107,136.0,2025-10-21 16:18:56,RETURNED,COD,91.91,West
108,170.0,2024-09-03 07:43:05,RETURNED,UPI,135.52,East
109,187.0,2024-11-28 05:06:31,DELIVERED,UPI,230.25,East
110,33.0,2025-08-24 01:04:45,DELIVERED,COD,176.92,West
111,499.0,2025-04-04 02:24:31,CANCELLED,COD,101.02,West
112,348.0,2025-06-06 01:19:04,DELIVERED,COD,70.32,South
113,36.0,2025-02-11 05:01:49,CANCELLED,COD,109.0,West
114,343.0,2025-06-06 17:23:01,DELIVERED,NETBANKING,67.83,North
115,62.0,2025-01-09 03:46:07,RETURNED,NETBANKING,242.97,West
116,195.0,2025-03-14 13:31:39,CANCELLED,COD,212.62,South
117,,2025-03-10 09:52:30,RETURNED,COD,67.1,West
118,459.0,2024-09-27 14:52:56,PLACED,COD,72.86,West
119,494.0,2025-10-05 04:25:12,PLACED,COD,164.79,West
120,345.0,2025-04-01 20:26:18,PLACED,COD,186.23,North
121,251.0,2024-07-16 18:21:25,RETURNED,CARD,64.26,East
122,342.0,2025-03-09 08:17:26,RETURNED,NETBANKING,89.07,South
123,341.0,2026-05-31 14:20:48,RETURNED,CARD,115.28,South
124,200.0,2025-07-29 03:17:54,SHIPPED,NETBANKING,182.37,West
125,496.0,2025-11-12 20:57:26,PLACED,CARD,53.23,South
126,117.0,2025-06-02 12:27:45,DELIVERED,NETBANKING,118.65,North
