product_id,product_name,category,subcategory,brand,cost_price,selling_price,rating
1,Lg Footwear,Fashion,Footwear,LG,2581.26,3584.94,3.6
2,Lg Mobile,Electronics,Mobile,LG,555.8,792.84,3.4
3,Lenovo Men,Fashion,Men,Lenovo,446.92,551.22,4.0
4,Lenovo Accessories,Electronics,Accessories,Lenovo,2581.88,3628.55,3.4
5,Lenovo Kitchen,Home,Kitchen,Lenovo,325.58,543.67,4.9
6,Sony Decor,Home,Decor,Sony,2810.39,3307.89,3.3
7,Nike Comics,Books,Comics,Nike,2335.73,3794.13,3.6
8,Puma Comics,Books,Comics,Puma,1352.35,2127.52,4.6
9,Apple Footwear,Fashion,Footwear,Apple,694.36,991.32,4.5
10,Puma Education,Books,Education,Puma,2748.24,3084.99,4.7
11,Hp Education,Books,Education,HP,2177.44,3007.57,4.9
12,Samsung Men,Fashion,Men,Samsung,254.86,340.12,3.9
13,Hp Kitchen,Home,Kitchen,HP,2543.79,4120.53,3.8
14,Boat Women,Fashion,Women,Boat,121.46,179.88,4.7
15,Lg Accessories,Electronics,Accessories,LG,2972.63,4869.63,3.4
16,Nike Fiction,Books,Fiction,Nike,1722.12,2879.91,3.4
17,Lenovo Men,Fashion,Men,Lenovo,269.05,362.1,4.7
18,Puma Fiction,Books,Fiction,Puma,899.43,1156.79,4.3
19,Nike Accessories,Electronics,Accessories,Nike,2022.12,2590.12,4.1
20,Puma Kitchen,Home,Kitchen,Puma,694.24,1094.51,4.1
21,Sony Mobile,Electronics,Mobile,Sony,2208.46,2511.26,3.9
22,Apple Men,Fashion,Men,Apple,1220.76,2143.82,3.2
23,Sony Women,Fashion,Women,Sony,1735.91,2069.1,4.4
24,Apple Kitchen,Home,Kitchen,Apple,2935.99,5214.31,4.2
25,Boat Fiction,Books,Fiction,Boat,2142.43,3448.8,3.5
26,Samsung Education,Books,Education,Samsung,772.85,1385.73,4.9
27,Lenovo Education,Books,Education,Lenovo,970.83,1379.28,4.2
28,Sony Kitchen,Home,Kitchen,Sony,2427.63,3653.52,4.2
29,Samsung Men,Fashion,Men,Samsung,559.03,870.67,3.7
30,Sony Accessories,Electronics,Accessories,Sony,141.14,221.18,3.8
31,Dell Furniture,Home,Furniture,Dell,287.8,341.69,3.4
32,Sony Accessories,Electronics,Accessories,Sony,1178.42,1850.99,4.5
33,Apple Footwear,Fashion,Footwear,Apple,1416.95,2467.13,3.9
34,Apple Mobile,Electronics,Mobile,Apple,1353.93,2145.19,3.7
35,Lg Accessories,Electronics,Accessories,LG,1240.87,2128.54,4.5
36,Boat Laptop,Electronics,Laptop,Boat,681.31,900.36,3.9
37,Samsung Kitchen,Home,Kitchen,Samsung,2037.66,3281.7,4.6
38,Sony Women,Fashion,Women,Sony,1684.95,2101.97,4.3
39,Nike Accessories,Electronics,Accessories,Nike,2601.69,4121.67,3.6
40,Nike Education,Books,Education,Nike,1972.3,3045.71,4.6
41,Apple Women,Fashion,Women,Apple,2348.23,3739.2,4.5
42,Lenovo Decor,Home,Decor,Lenovo,2976.48,5168.88,4.0
43,Lenovo Comics,Books,Comics,Lenovo,331.64,596.65,3.7
44,Hp Kitchen,Home,Kitchen,HP,751.33,1301.84,4.6
45,Lg Decor,Home,Decor,LG,212.09,278.46,3.1
46,Samsung Fiction,Books,Fiction,Samsung,2633.97,4138.29,4.9
47,Nike Laptop,Electronics,Laptop,Nike,895.72,1037.5,4.8
48,Samsung Accessories,Electronics,Accessories,Samsung,557.13,878.04,3.4
49,Lg Men,Fashion,Men,LG,2615.76,4512.42,3.1
50,Apple Accessories,Electronics,Accessories,Apple,192.69,294.28,4.1
51,Samsung Men,Fashion,Men,Samsung,2998.83,5146.56,4.9
52,Lg Men,Fashion,Men,LG,1419.1,2315.05,3.9
53,Dell Women,Fashion,Women,Dell,919.36,1513.09,3.2
54,Lg Furniture,Home,Furniture,LG,1033.88,1431.75,4.4
55,Hp Comics,Books,Comics,HP,555.14,927.17,3.4
56,Puma Fiction,Books,Fiction,Puma,716.47,1224.15,4.0
57,Puma Laptop,Electronics,Laptop,Puma,630.03,833.56,3.8
58,Apple Furniture,Home,Furniture,Apple,995.71,1428.0,4.2
59,Boat Kitchen,Home,Kitchen,Boat,2120.89,2766.08,4.5
60,Apple Comics,Books,Comics,Apple,264.34,450.52,5.0
61,Puma Decor,Home,Decor,Puma,1217.91,2019.07,4.3
62,Sony Men,Fashion,Men,Sony,673.25,919.9,4.6
63,Lg Laptop,Electronics,Laptop,LG,2216.53,3022.04,4.7
64,Samsung Decor,Home,Decor,Samsung,626.84,1023.39,3.4
65,Hp Decor,Home,Decor,HP,1654.93,2560.29,4.1
66,Boat Laptop,Electronics,Laptop,Boat,2688.03,3710.39,4.8
67,Dell Men,Fashion,Men,Dell,470.33,698.46,4.1
68,Hp Laptop,Electronics,Laptop,HP,1043.89,1321.87,3.1
69,Lg Fiction,Books,Fiction,LG,2469.69,3363.49,3.6
70,Dell Fiction,Books,Fiction,Dell,2495.38,2812.42,3.4
71,Dell Accessories,Electronics,Accessories,Dell,2535.57,3543.98,3.1
72,Sony Education,Books,Education,Sony,2084.9,3071.54,4.6
73,Hp Kitchen,Home,Kitchen,HP,2479.19,3610.22,3.1
74,Puma Furniture,Home,Furniture,Puma,1086.56,1335.8,4.9
75,Apple Women,Fashion,Women,Apple,2244.17,2681.64,3.4
